week,metric,count_7d,count_prior_7d,delta_pct,source,note
2026-W33,lab_row_added,0,0,,"supabase","true zero so far — US-21 phase-2 UI deployed 08-14, only ~1.5d of window"
2026-W33,reminder_optin_events,18,0,,"supabase","first week of default-on cloud (US-17) + typed lane (US-23)"
2026-W33,reminder_optout_events,0,0,,"supabase","true zero — emit sites live (client cancel + unsubscribe page); kill-ratio 0/18 vs 30% threshold"
2026-W33,reminder_optin_total,20,2,,"supabase","all-time rows: 17 typed + 3 google-drive; was 2 ever before this week"
2026-W33,report_email_sent,25,0,,"supabase","US-22 live"
2026-W33,report_email_clicked,10,0,,"supabase","40% CTR — clicks, not opens, are the ownership signal"
2026-W33,report_email_bounced,1,0,,"supabase","1/25 = 4%; webhook un-enrols; 0 complaints (no report_email_complained rows)"
2026-W33,chat_messages,260,104,150,"supabase","260 total (169 user-authored); server table so the comparison is window-clean"
2026-W33,chat_match_events,169,56,202,"supabase","empty-handle 119/169 = 70.4% BUT 92/119 are deliberate router_skipped classifier bypasses; TRUE router misses 27/77 = 35% (below ~48% baseline). W32's 73.1% likely conflated the same; adversarial-review catch, note corrected same run"
2026-W33,sentry_new_issues,1,2,,"sentry","logTickError 08-09, platform-bot, 1 event; nothing user-facing"
2026-W33,clarity_roadmap_visits_3d,178,216,-18,"clarity","3-day sample; still #3 page on drstanfield.com; site sessions +8.7% to 4490/3d"
2026-W33,feedback_organic,0,0,,"gmail+supabase","no feedback emails 8d; 0 feedback_submissions rows in window"
2026-W34,product_events_total,518,430,20,"supabase","first clean week-over-week compare (both windows fully instrumented)"
2026-W34,results_viewed,352,351,0,"supabase","flat ~50/day; crawler flood did not touch the widget funnel"
2026-W34,upload_started,6,2,200,"supabase","small n"
2026-W34,upload_saved,5,2,150,"supabase","5/6 started→saved — first sub-100% week; extract_failed 0 so the drop is at/around review; small n"
2026-W34,upload_extract_failed,0,0,,"supabase","true zero (6 uploads, none failed; emit site verified W33)"
2026-W34,cloud_connect_started,6,3,100,"supabase",""
2026-W34,cloud_connect_success,5,1,400,"supabase","best week ever — 5 this week vs 3 all-time before W34; cumulative 14 started → 8 success"
2026-W34,chat_opened,29,0,,"supabase","LIVE — first event ever 2026-08-15T22:52:36Z, ~3 min after deploy 31911537298 (PR #23); production-telemetry verification of the fix"
2026-W34,correction_made,9,11,-18,"supabase","steady real usage"
2026-W34,lab_rows_viewed,9,6,50,"supabase","stabilized ~1.3/day post-novelty; W33's relayout-vs-novelty question → novelty wear-off, relayout not implicated"
2026-W34,lab_row_added,3,0,,"supabase","first manual adds ever (US-21 phase 2, live since 08-14)"
2026-W34,reminder_optin_events,38,18,111,"supabase","week 2 of default-on + typed lane; accelerating"
2026-W34,reminder_optout_events,0,0,,"supabase","true zero — kill-ratio 0/56 cumulative vs 30% threshold"
2026-W34,reminder_optin_total,58,20,,"supabase","all-time rows: 52 typed + 6 google-drive (~9:1)"
2026-W34,report_email_sent,35,25,40,"supabase",""
2026-W34,report_email_clicked,21,10,110,"supabase","60% click:send EVENT ratio — one constant visitor_id, no per-recipient dimension (adversarial-review catch); like-for-like vs W33's 40%"
2026-W34,report_email_bounced,0,1,,"supabase","true zero; 0 complaints (webhook verified live W33)"
2026-W34,chat_messages,335,260,29,"supabase","222 user-authored (169 prior)"
2026-W34,chat_match_events,222,169,31,"supabase","42 matched; 180 empty of which 140 router_skipped; TRUE misses 40/82 = 49% — BUT router_context shows ~80% of routed events are the YouTube comment bot; web-chat-only misses 4/16 = 25%, and 2 of those 4 are mid-conversation fragments where no-match is correct. Segment by platform before trending (post-delivery catch, 2026-08-22)"
2026-W34,sentry_new_issues,1,1,,"sentry","JAVASCRIPT-REMIX-62 redirect-guard (dependency-level, node, 2 events, bot-shaped)"
2026-W34,clarity_roadmap_visits_3d,,178,,"clarity","GAP: drstanfield sample flooded — 357k sessions/3d, 99% single Chrome/macOS/direct fingerprint, ~22s engagement; human trend unreadable this pull"
2026-W34,feedback_organic,0,0,,"gmail+supabase","no feedback emails 8d; 0 feedback_submissions in window"
2026-W35,product_events_total,402,518,-22,"supabase","reach-led decline; per-event sums reconcile exactly to window totals"
2026-W35,results_viewed,261,352,-26,"supabase","FIRST REAL DECLINE after 3 flat weeks (~50/day → ~37/day); upstream unreadable — Clarity still crawler-flooded"
2026-W35,upload_started,6,6,0,"supabase",""
2026-W35,upload_saved,5,5,0,"supabase","gap explained: 1 extraction failure, not review-abandon (W34 watch does not trigger)"
2026-W35,upload_extract_failed,1,0,,"supabase","FIRST EVER fire — US-12 AC3 emit production-verified"
2026-W35,cloud_connect_started,5,6,-17,"supabase",""
2026-W35,cloud_connect_success,3,5,-40,"supabase","cumulative 19 started → 11 success (~58% all-time); drop step still unmeasured (US-09)"
2026-W35,chat_opened,30,29,3,"supabase","steady in week 2 of live measurement"
2026-W35,correction_made,11,9,22,"supabase",""
2026-W35,lab_rows_viewed,8,9,-11,"supabase","stable ~1.1/day post-novelty (US-21)"
2026-W35,lab_row_added,2,3,-33,"supabase","steady trickle at tiny n"
2026-W35,reminder_optin_events,31,38,-18,"supabase","week 3 of default-on + typed lane; moved with reach, not worse"
2026-W35,reminder_optout_events,0,0,,"supabase","true zero — kill-ratio 0/87 cumulative vs 30% threshold"
2026-W35,reminder_optin_total,89,58,,"supabase","all-time rows: 81 typed + 8 google-drive (~10:1)"
2026-W35,report_email_sent,29,35,-17,"supabase",""
2026-W35,report_email_clicked,10,21,-52,"supabase","34% click:send EVENT ratio (was 60%) — uncohorted, no per-recipient dimension; drift not verdict"
2026-W35,report_email_bounced,0,0,,"supabase","true zero; 0 complaints (webhook verified live W33)"
2026-W35,chat_messages,331,335,-1,"supabase","flat; 224 user-authored (222 prior)"
2026-W35,chat_match_events,224,222,1,"supabase","44 matched; TRUE misses 38/82 = 46% blended BUT YouTube bot = 194/224 (87%); web-chat only: 6 matched / 3 true misses / 21 skipped at n=30; router_error 0/224"
2026-W35,sentry_new_issues,6,1,,"sentry","5 = PGRST303 Supabase platform-fault class (REMIX-64/65/66/67/68), mitigated by sentry-fix PRs #30+#35, quiet since 08-28T16:11Z; 1 opaque minified single-event (REMIX-63)"
2026-W35,clarity_roadmap_visits_3d,,,,"clarity","GAP week 2: still flooded — 200,581 sessions/3d ~98% one Chrome/macOS/PC/no-referrer fingerprint (was 357k; same shape, Singapore now #2 country); roadmap page absent from top-10 export"
2026-W35,feedback_organic,0,0,,"gmail+supabase","no feedback emails 8d; 0 feedback_submissions in window"
